seconds,mac,humidity,inside_temp,outside_temp,input_volt,output_volt,battery_back,water_leakage,water_logging
0,00:11:22:33:44:06,40,28,25,1.02,1.01,10.72,1,1
5,00:11:22:33:44:06,40,28,25,1.02,1.01,10.75,1,1
10,00:11:22:33:44:06,50,29,28,1.02,1.01,10.72,1,1
16,00:11:22:33:44:06,100,30,30,1.02,1.01,10.72,1,1
27,00:11:22:33:44:06,50,30,26,1.02,1.01,10.76,1,1
29,00:11:22:33:44:06,50,30,26,1.02,1.01,10.76,1,1
50,00:11:22:33:44:06,50,31,27,1.02,1.01,10.73,1,1
51,00:11:22:33:44:06,50,31,28,1.02,1.01,10.72,1,1
52,00:11:22:33:44:06,50,32,29,1.02,1.01,10.75,1,1
53,00:11:22:33:44:06,50,32,30,1.02,1.01,10.73,1,1
54,00:11:22:33:44:06,60,38,25.5,1.02,1.01,10.72,1,1
55,00:11:22:33:44:06,60,39,25.5,1.02,1.01,10.7,1,1
56,00:11:22:33:44:06,60,40,26,1.02,1.01,10.7,1,1
61,00:11:22:33:44:06,60,41,26,1.02,1.01,10.69,0,0
66,00:11:22:33:44:06,60,42,26,1.02,1.01,10.71,1,0
67,00:11:22:33:44:06,70,43,26,1.02,1.01,10.74,1,0
68,00:11:22:33:44:06,70,44,26,1.02,1.01,10.75,1,0
70,00:11:22:33:44:06,70,45,26,1.02,1.01,10.79,0,0
71,00:11:22:33:44:06,70,46,26.5,1.02,1.01,10.79,0,0
72,00:11:22:33:44:06,70,47,26.5,1.02,1.01,10.78,0,0
73,00:11:22:33:44:06,80,48,26.5,1.02,1.01,10.78,1,0
75,00:11:22:33:44:06,80,49,26.5,1.02,1.01,10.79,1,0
80,00:11:22:33:44:06,80,50,26.5,1.02,1.01,10.77,1,0
81,00:11:22:33:44:06,80,51,26.5,1.02,1.01,10.78,0,0
82,00:11:22:33:44:06,80,52,26.5,1.02,1.01,10.77,0,0
83,00:11:22:33:44:06,63,53,27,1.02,1.01,10.76,0,0
